Text,X,Y,Z
지상 5층 평면도,602.081418012916,41.92148864095972,0.0
전기기기연구실,380.13369553325015,340.809367179537,0.0
전기전자공학부,380.13369553325015,335.52515374714267,0.0
FL05,735.2010615961325,302.7793617529142,0.0
ELEV실,772.3743765348497,336.60992455539315,0.0
공과대학행정팀,702.3893748973701,660.775225337428,0.0
공과대학장,706.5867805603593,651.7536825944677,0.0
나노트로닉스연구실,299.1061494900177,338.78919612226304,0.0
전기전자공학부,303.92749810860187,333.50019681997185,0.0
제어및메카트로닉스연구실,443.9008238056382,339.72453704232083,0.0
전기전자공학부,456.03130323114385,334.4355377400296,0.0
차세대 전력망 연구실,565.2107599043868,354.8105482214802,0.0
전기전자공학부,571.7436700771686,349.5215489191887,0.0
교수연구실,573.4551920787223,243.91957943484456,0.0
전기전자공학부,568.6338830127816,238.63056035623137,0.0
교수연구실,423.6849138337838,245.47202070312377,0.0
전기전자공학부,418.86356521519934,240.18300162451058,0.0
교수연구실,1023.7063513667109,243.91957943484456,0.0
전기전자공학부,1018.8850423007707,238.63056035623137,0.0
교수연구실,984.5136366472741,246.40736162318157,0.0
산업경영공학부,979.5380722705995,241.11834254456824,0.0
전력계통연구실,493.5124959490275,363.2093148118366,0.0
전기전자공학부,493.5124959490275,357.9203155095453,0.0
PS실,772.5286318455833,846.4288485969138,0.0
공과대학행정팀,699.8999314979945,753.4249993336213,0.0
공과대학장,704.875574979956,743.0061210149568,0.0
인지모델 연구실,905.9738727923784,339.4111812219912,0.0
산업경영공학부,906.904467395183,334.12214236705603,0.0
교수연구실,686.3663615871144,246.40736162318157,0.0
산업경영공학부,681.3907181051529,241.11834254456824,0.0
교수연구실,535.9741575714136,243.91957943484456,0.0
전기전자공학부,531.1527694001857,238.63056035623137,0.0
신소재공학부 세미나실,645.6211264941106,465.0795813491925,0.0
신소재공학부,656.1944183340836,459.7905424942573,0.0
공과대학행정팀,635.9795367309677,660.9329612808139,0.0
공과대학장,640.1768632886691,651.9113987615317,0.0
교수연구실,648.7309135584974,236.29699392598405,0.0
산업경영공학부,643.9096044925569,231.00801440001445,0.0
PS실,652.3083710829133,310.79649477161956,0.0
교수연구실,836.4500549813478,246.40736162318157,0.0
산업경영공학부,831.4744114993861,241.11834254456824,0.0
교수연구실,385.89038507189235,243.91957943484456,0.0
전기전자공학부,381.06903645330794,238.63056035623137,0.0
교수연구실,947.9678639547357,238.31714520693575,0.0
산업경영공학부,943.1464757835072,233.03295155086343,0.0
교수연구실,798.8146069527314,238.31714520693575,0.0
산업경영공학부,793.9932978867904,233.03295155086343,0.0
교수연구실,911.4171867343691,246.40736162318157,0.0
산업경영공학부,906.5957985631408,241.11834254456824,0.0
교수연구실,310.92325331887184,243.91957943484456,0.0
전기전자공학부,305.94760983691015,238.63056035623137,0.0
PS실,651.2187748521221,846.4288485969138,0.0
교수연구실,272.1982090594634,241.27263740794552,0.0
전기전자공학부,267.2225655775018,235.9836183293323,0.0
산업경영공학부행정실,730.2261300617589,243.91957943484456,0.0
산업경영공학부,737.3810451105905,238.63056035623137,0.0
ELEV실,691.8096755291051,327.2806424675197,0.0
Informatics,987.3148339849057,339.4111812219912,0.0
산업경영공학부,982.4935249189658,334.12214236705603,0.0
차세대 전력망 연구실,598.3382349110714,340.5007774527824,0.0
전기전자공학부,605.0254003945864,335.2117385978472,0.0
교수연구실,235.80669167765853,243.91957943484456,0.0
산업경영공학부,230.9853430590742,238.63056035623137,0.0
지능시스템연구실,412.9525808131801,351.6959357345523,0.0
전기전자공학부,415.4404025541608,346.56603694185725,0.0
PS실,847.9634340586325,310.63737448570123,0.0
최적화연구실,870.9805413681189,363.6721598493246,0.0
산업경영공학부,868.6470935958032,358.387985969574,0.0
