Text,X,Y,Z
지하 1층 평면도,647.4706584832525,43.5554662213612,0.0
CLEAN ROOM,866.1450305619162,349.12194374197696,0.0
공동실험팀,870.3385527206074,343.0707056337695,0.0
TEM시편준비실,1053.7815445896442,244.9856420486312,0.0
공동실험팀,1059.2135308916172,239.0865379209286,0.0
중앙감시실,649.3333672848983,597.1294207554888,0.0
ELEV실,691.2355926316492,327.3940774724581,0.0
3D프린터실,518.3468191885847,271.3687015547927,0.0
공동실험팀,518.9660907294123,265.4695974270901,0.0
ARES실,514.7780153184988,335.6180548445932,0.0
공동실험팀,510.117414803265,329.5668562055726,0.0
FIB실,729.8840571573189,244.9856420486312,0.0
공동실험팀,722.5888884234585,239.0865379209286,0.0
Yellow Room,1056.5735948635863,349.12194374197696,0.0
공동실험팀,1059.2135308916172,343.0707056337695,0.0
공동실험팀,662.0604433823585,239.0865379209286,0.0
열환경실험실,589.272000600341,348.81228823696966,0.0
공동실험팀,592.0641298126568,342.76108959794897,0.0
전자현미경실,913.9463995055568,282.5423099291529,0.0
공동실험팀,916.7438175889033,276.64316633226343,0.0
ELEV실,771.1670109632421,336.55234969983263,0.0
시편준비실,973.6980909505136,254.60566429233083,0.0
공동실험팀,973.6980909505136,248.55444591871674,0.0
E-BEAM실,590.0488331348579,256.77844302544537,0.0
공동실험팀,588.8049222437984,250.72722465183128,0.0
TEM실,1023.05296708644,254.60566429233083,0.0
공동실험팀,1017.3113055448666,248.55444591871674,0.0
열환경쳄버제어실,641.2615238932682,355.33068364009324,0.0
공동실험팀,649.643042524499,349.2794455318859,0.0
XRD실,783.5791229500708,259.72801482389,0.0
공동실험팀,777.8374614084964,253.67679645027593,0.0
CLEAN ROOM,961.2859789636846,349.12194374197696,0.0
공동실험팀,965.474054374598,343.0707056337695,0.0
전해연마실,926.5178880686667,218.3745789176462,0.0
공동실험팀,926.5178880686667,214.64947706784886,0.0
BF01,493.8223242194553,450.6471909847298,0.0
"(0,0) 원점",-8.965535413444304,-11.61390840088934,0.0
