Text,X,Y,Z
반도체 및 나노광소자 연구실,872.9549851918862,346.87971377594056,0.0
전기전자공학부,887.7248290135384,341.5934548877955,0.0
교수연구실,498.4870879333092,244.13226557623472,0.0
교수연구실,836.5823235185693,253.76996659721837,0.0
건축사회환경공학부,826.790447111884,248.4836879429983,0.0
교수연구실,873.4224133356147,244.13226557623472,0.0
전기전자공학부,868.6036023572726,238.84598692201465,0.0
교수연구실,572.3214429531018,230.29731757418958,0.0
전기전자공학부,567.50263197476,225.01103891996937,0.0
교수연구실,685.3331075728811,250.97018112501996,0.0
건축사회환경공학부,675.6954065518976,245.68390247079986,0.0
공과대학행정팀,646.160620895216,478.6993522939593,0.0
공과대학장,651.1337653878603,468.2857932935429,0.0
교수연구실,648.4930177558364,244.13226557623472,0.0
200-1A,1068.66308506591,261.06178041133296,0.0
N-TEAM,1067.7329726364746,257.33077560949437,0.0
공과대학행정팀,666.0577055309141,633.9915212385563,0.0
공과대학장,671.0307709592579,623.5780413024402,0.0
화장실(남),652.3769724467212,372.8388757470664,0.0
교수연구실,461.0253550546836,244.13226557623472,0.0
전기전자공학부,456.0474271718673,238.84598692201465,0.0
교수연구실,311.0145627776843,244.13226557623472,0.0
건축사회환경공학부,301.22264683884845,238.84598692201465,0.0
공과대학행정팀,645.2257646077591,440.4617812019759,0.0
공과대학장,650.0446546504013,429.8892238935356,0.0
교수연구실,984.877618138507,235.27038300253355,0.0
건축사회환경공학부,975.0856626675206,229.98410434831348,0.0
교수연구실,423.4045843358837,244.13226557623472,0.0
건축사회환경공학부,413.76688331489987,238.84598692201465,0.0
환경중심 신소재 공정 연구실,1003.8445903447697,348.43623289105284,0.0
신소재공학부,1021.096025361821,343.304169154685,0.0
교수연구실,535.9488603440851,244.13226557623472,0.0
건축사회환경공학부,526.3111593231016,238.84598692201465,0.0
ELEV실,691.7036345100885,326.9827082045429,0.0
교수연구실,271.533725328615,258.27556434968375,0.0
건축사회환경공학부,261.74180938977906,252.98928569546354,0.0
해동학술정보실,719.6867042079049,751.6630578268788,0.0
공과대학행정팀,719.6867042079049,746.3768187048091,0.0
공과대학장,724.6597696362487,735.9632597043927,0.0
교수연구실,948.50487740089,244.13226557623472,0.0
건축사회환경공학부,938.7130009942047,238.84598692201465,0.0
교수연구실,798.4989475783623,244.13226557623472,0.0
전기전자공학부,793.6801366000213,238.84598692201465,0.0
교수연구실,385.9428514572578,244.13226557623472,0.0
교수연구실,235.93692163473096,244.13226557623472,0.0
건축사회환경공학부,226.29922061374717,238.84598692201465,0.0
공과대학행정팀,666.0577055309141,591.0893936182335,0.0
공과대학장,671.0307709592579,580.5168363097932,0.0
미세조직제어연구실,1049.5465232033662,332.11477194091077,0.0
신소재공학부,1056.8519064280306,326.82851305276586,0.0
교수연구실,913.2165035427101,249.72693453400913,0.0
교수연구실,348.1678658206058,249.5727196161569,0.0
전기전자공학부,343.34901531011377,244.28644096193682,0.0
공과대학행정팀,627.3527260612774,594.351744779688,0.0
공과대학장,632.1715370396191,583.7791874712476,0.0
교수연구실,607.7641503255842,251.43760926874842,0.0
건축사회환경공학부,598.1264493046004,246.30554553238042,0.0
공과대학행정팀,962.339785870785,343.304169154685,0.0
공과대학장,967.158675913427,332.7364347685665,0.0
교수연구실,760.7240014738611,257.8081362059556,0.0
건축사회환경공학부,750.9321250671752,252.5266804740573,0.0
교수연구실,723.4164835130875,244.13226557623472,0.0
전기전자공학부,718.597672534746,238.84598692201465,0.0
공과대학행정팀,627.3527260612774,630.724406453005,0.0
공과대학장,632.1715370396191,620.3108672186637,0.0
ELEV실,772.2265921474363,336.62040922552643,0.0
FL02,732.2760336899281,296.4380836545505,0.0
컴퓨터연구실,457.448920960049,352.5219794425317,0.0
전기전자공학부,455.42811650714737,348.01555151491243,0.0
반도체나노소재 연구실,374.907016880858,345.99474706201096,0.0
신소재공학부,383.9198727360966,341.4842868550734,0.0
나노소자연구실,569.3693401062598,332.93630931987667,0.0
전기전자공학부,569.3693401062598,328.58350332785665,0.0
건축설계연구실(IV),230.33845759053932,347.70435442869547,0.0
디스플레이및나노시스템연구실,595.1750580364616,347.70435442869547,0.0
전기전자공학부,609.785508228588,343.1939535199831,0.0
컴퓨터시스템연구실,416.5639806008858,334.33471960034404,0.0
전기전자공학부,420.7632041894565,329.8283114387998,0.0
이동네트워크 및 통신연구실,524.2891689056949,353.45557070118264,0.0
전기전자공학부,536.2604527518041,348.9451104942451,0.0
환경생명공학연구실,267.4930256622663,360.6051972541374,0.0
건축사회환경공학부,267.4930256622663,356.09882862474325,0.0
해안유체역학연구실,304.95475854089204,348.9451104942451,0.0
건축사회환경공학부,304.95475854089204,344.4387418648511,0.0
극한환경용 합금설계 연구실,338.37488251371497,360.14043753054614,0.0
신소재공학부,352.3669312805754,355.6299773236084,0.0
컴퓨터구조 및 시스템 소프트웨어 연구실,470.81458280730686,324.54189442205393,0.0
전기전자공학부,494.59945675245734,320.0314342151164,0.0
공과대학행정팀,627.1940440104551,740.7713970021854,0.0
공과대학장,630.6138912582268,733.1519703764919,0.0
공과대학행정팀,627.1940440104551,804.6605699368941,0.0
공과대학장,630.6138912582268,797.1985603332173,0.0
공과대학행정팀,627.1940440104551,719.4726604497051,0.0
공과대학장,630.6138912582268,711.8567126532274,0.0
공과대학행정팀,627.1940440104551,698.0235435979403,0.0
공과대학장,630.6138912582268,690.4041169722466,0.0
공과대학행정팀,627.1940440104551,783.3619124487144,0.0
공과대학장,630.6138912582268,775.899823780737,0.0
공과대학행정팀,627.1940440104551,762.0666547254499,0.0
공과대학장,630.6138912582268,754.450706928972,0.0
공과대학행정팀,627.9736970763047,824.2459831005731,0.0
공과대학장,631.3935443240764,816.7838944325957,0.0
교수연구실,1023.4283431581412,241.48669502188866,0.0
전기전자공학부,1018.6095321798,236.20041636766828,0.0
"(0,0) 원점",-8.965535413444304,-11.61390840088934,0.0
