Text,X,Y,Z
BOARD,937.8788541281854,234.80755985969773,0.0
BOARD,1012.8461211350876,234.80755985969773,0.0
BOARD,796.7540115316508,234.80755985969773,0.0
BOARD,946.6803922724475,234.80755985969773,0.0
지상 7층 평면도,650.1020092103658,30.71252187237318,0.0
BOARD,935.0513470100586,339.47236441828335,0.0
PS실,696.9428823672865,367.4404089170356,0.0
ELEV실,695.5268506878241,327.52308337176544,0.0
PS실,654.5088532702268,311.02021933478676,0.0
PS실,849.6980491709952,310.86260937351216,0.0
PS실,776.9352033696381,377.18396982971166,0.0
ELEV실,775.5218894478444,336.7937744335933,0.0
MODELS ROOM,958.1382587687298,349.2595693217575,0.0
CAD ROOM,890.5593758523949,351.61378693527854,0.0
LIBRARY,1047.8747002221019,314.3034404584785,0.0
SEMINAR 4,910.9901191271433,244.21198058563743,0.0
OPEN STUDIO,437.47460099730216,286.0174083207275,0.0
EXHIBITION HALL,716.7442249395749,244.21198058563743,0.0
SEMINAR 1,798.9373701152617,244.21198058563743,0.0
SEMINAR 2,836.0267688886471,244.21198058563743,0.0
SEMINAR 6,986.1092608272982,244.21198058563743,0.0
SEMINAR 3,873.4280703215449,244.21198058563743,0.0
SEMINAR 5,948.5520879986933,244.21198058563743,0.0
FL07,750.691336309554,291.20109143657805,0.0
ROBOT ARM ROOM,639.7395988897078,252.3869556861811,0.0
"(0,0) 원점",-8.965535413444304,-11.61390840088934,0.0
