Text,X,Y,Z
지상 6층 평면도,602.1735924078212,42.238837005559034,0.0
교수연구실,498.6389306185434,244.13226557623457,0.0
신소재공학부,496.1523583722212,238.8459869220145,0.0
교수연구실,948.5025051682718,244.13226557623457,0.0
신소재공학부,946.1702664362524,238.8459869220145,0.0
기능성 나노구조 실험실,413.4556068607753,347.7043544286953,0.0
신소재공학부,423.24847157121536,343.1939535199831,0.0
반도체박막 연구실,585.3782002752462,348.5904280428301,0.0
신소재공학부,591.1318675410446,343.30416915468487,0.0
태양전지 실험실,1035.0876389714235,348.7446627267573,0.0
신소재공학부,1038.3499901328769,343.45836430646193,0.0
교수연구실,836.1174251288451,244.13226557623457,0.0
신소재공학부,833.6308528825228,238.8459869220145,0.0
교수연구실,986.1233549513728,244.13226557623457,0.0
신소재공학부,983.6367827050506,238.8459869220145,0.0
광전자재료 실험실,305.8880727708843,347.7043544286953,0.0
신소재공학부,310.7056582525704,343.1939535199831,0.0
극한 환경용 합금 설계 및 공정 실험실,861.3006698223129,348.5904280428301,0.0
신소재공학부,888.3440603103508,343.30416915468487,0.0
교수연구실,386.0995170648138,244.13226557623457,0.0
신소재공학부,383.6081614283199,238.8459869220145,0.0
교수연구실,1023.5850482978475,244.13226557623457,0.0
신소재공학부,1021.0984760515256,238.8459869220145,0.0
교수연구실,236.09354771013662,244.13226557623457,0.0
신소재공학부,233.60223160579278,238.8459869220145,0.0
교수연구실,648.6448209089199,244.13226557623457,0.0
신소재공학부,646.1584067911988,238.8459869220145,0.0
교수연구실,273.5553201209125,244.13226557623457,0.0
신소재공학부,271.22296279244256,238.8459869220145,0.0
PS실,696.9913755502582,367.43164847937044,0.0
PS실,849.7941259337194,310.6951460731801,0.0
교수연구실,536.1054073551907,244.13226557623457,0.0
신소재공학부,533.6189932374692,238.8459869220145,0.0
신소재공학부자료실2,675.0714307898494,244.13226557623457,0.0
신소재공학부,683.6249230599964,238.8459869220145,0.0
나노전자유기복합재료연구실 I,444.39014689103044,337.7539343337128,0.0
신소재공학부,460.4030396429425,333.24752617216853,0.0
PS실,777.0461934651738,377.06919137175316,0.0
신소재공학부자료실1,562.5320172361198,244.13226557623457,0.0
신소재공학부,571.0806865839446,238.8459869220145,0.0
교수연구실,873.5791184753213,244.13226557623457,0.0
신소재공학부,871.0925462289982,238.8459869220145,0.0
광전자재료 연구실,343.34976611736,347.7043544286953,0.0
신소재공학부,348.1673911311962,343.1939535199831,0.0
유기반도체공정 연구실,489.15912100537867,347.7043544286953,0.0
신소재공학부,498.17596960778536,343.1939535199831,0.0
ELEV실,775.648257570509,336.6533790387767,0.0
나노 광전소재 연구실,962.1832382524647,347.1929665339669,0.0
신소재공학부,971.1993357440184,341.9067076458218,0.0
교수연구실,911.0408118217964,244.13226557623457,0.0
신소재공학부,908.7084940254765,238.8459869220145,0.0
교수연구실,423.56124994343946,244.13226557623457,0.0
신소재공학부,421.2289321471199,238.8459869220145,0.0
광전자재료 실험실,230.80695279871492,347.7043544286953,0.0
신소재공학부,235.78219249531904,343.1939535199831,0.0
전자재료 연구실,382.2099488086032,347.7043544286953,0.0
신소재공학부,385.7867386925897,343.1939535199831,0.0
극한 환경용 합금 설계 및 공정 연구실,1043.4827654479489,263.2952381830899,0.0
신소재공학부,1066.645284752815,258.94243219107017,0.0
신소재공학부행정실,732.5892070800469,244.13226557623457,0.0
신소재공학부,739.8945903047106,238.8459869220145,0.0
교수연구실,798.6556527180688,244.13226557623457,0.0
신소재공학부,796.1643366137254,238.8459869220145,0.0
교수연구실,311.0170529995383,244.13226557623457,0.0
신소재공학부,308.68473520321845,238.8459869220145,0.0
교수연구실,461.0229828220654,244.13226557623457,0.0
신소재공학부,458.69066502574555,238.8459869220145,0.0
자성재료 연구실,270.4471048130098,347.7043544286953,0.0
신소재공학부,273.24392537394465,343.1939535199831,0.0
ELEV실,695.590830533681,327.48354101517333,0.0
FL06,734.6096162114466,294.8298268378899,0.0
교수연구실,348.63296126386604,244.13226557623457,0.0
신소재공학부,346.1464680818444,238.8459869220145,0.0
교수연구실,611.0289521767428,244.13226557623457,0.0
신소재공학부,608.6966343804229,238.8459869220145,0.0
반도체박막연구실,531.7496759840574,338.99872267858075,0.0
신소재공학부,535.9489391047782,334.4882822377182,0.0
PS실,651.2903914632661,569.6694317272264,0.0
PS실,651.2903914632661,504.69067366925657,0.0
"(0,0) 원점",-8.965535413444304,-11.61390840088934,0.0
