Text,X,Y,Z,Floor
교수연구실,798.4989475783623,244.13226557623472,0.0,2F
전기전자공학부,793.6801366000213,238.84598692201465,0.0,2F
교수연구실,385.9428514572578,244.13226557623472,0.0,2F
교수연구실,235.93692163473096,244.13226557623472,0.0,2F
건축사회환경공학부,226.29922061374717,238.84598692201465,0.0,2F
공과대학행정팀,666.0577055309141,591.0893936182335,0.0,2F
공과대학장,671.0307709592579,580.5168363097932,0.0,2F
미세조직제어연구실,1049.5465232033662,332.11477194091077,0.0,2F
신소재공학부,1056.8519064280306,326.82851305276586,0.0,2F
교수연구실,913.2165035427101,249.72693453400913,0.0,2F
교수연구실,348.1678658206058,249.5727196161569,0.0,2F
전기전자공학부,343.34901531011377,244.28644096193682,0.0,2F
공과대학행정팀,627.3527260612774,594.351744779688,0.0,2F
공과대학장,632.1715370396191,583.7791874712476,0.0,2F
교수연구실,607.7641503255842,251.43760926874842,0.0,2F
건축사회환경공학부,598.1264493046004,246.30554553238042,0.0,2F
공과대학행정팀,962.339785870785,343.304169154685,0.0,2F
공과대학장,967.158675913427,332.7364347685665,0.0,2F
교수연구실,760.7240014738611,257.8081362059556,0.0,2F
건축사회환경공학부,750.9321250671752,252.5266804740573,0.0,2F
교수연구실,723.4164835130875,244.13226557623472,0.0,2F
전기전자공학부,718.597672534746,238.84598692201465,0.0,2F
공과대학행정팀,627.3527260612774,630.724406453005,0.0,2F
공과대학장,632.1715370396191,620.3108672186637,0.0,2F
ELEV실,772.2265921474363,336.62040922552643,0.0,2F
FL02,732.2760336899281,296.4380836545505,0.0,2F
컴퓨터연구실,457.448920960049,352.5219794425317,0.0,2F
전기전자공학부,455.42811650714737,348.01555151491243,0.0,2F
반도체나노소재 연구실,374.907016880858,345.99474706201096,0.0,2F
신소재공학부,383.9198727360966,341.4842868550734,0.0,2F
나노소자연구실,569.3693401062598,332.93630931987667,0.0,2F
전기전자공학부,569.3693401062598,328.58350332785665,0.0,2F
건축설계연구실(IV),230.33845759053932,347.70435442869547,0.0,2F
디스플레이및나노시스템연구실,595.1750580364616,347.70435442869547,0.0,2F
